club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,filename,url
105,sv-darmstadt-98,SV Darmstadt 98,L1,,24,25.9,9,37.5,1,Merck-Stadion am Böllenfalltor,17810,+€2.55m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/sv-darmstadt-98/startseite/verein/105
11127,ural-ekaterinburg,Ural Yekaterinburg,RU1,,29,27.1,11,37.9,4,Yekaterinburg Arena,23000,+€1.00m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/ural-ekaterinburg/startseite/verein/11127
114,besiktas-istanbul,Besiktas JK,TR1,,38,25.5,19,50.0,14,Tüpraş Stadyumu,42445,€-17.15m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/besiktas-istanbul/startseite/verein/114
12,as-rom,AS Roma,IT1,,27,25.8,20,74.1,16,Olimpico di Roma,73261,€-72.10m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/as-rom/startseite/verein/12
148,tottenham-hotspur,Tottenham Hotspur,GB1,,29,24.9,20,69.0,19,Tottenham Hotspur Stadium,62850,€-39.45m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/tottenham-hotspur/startseite/verein/148
157,kaa-gent,KAA Gent,BE1,,26,24.8,17,65.4,7,Planet Group Arena,20185,+€300k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/kaa-gent/startseite/verein/157
1894,hvidovre-if,Hvidovre IF,DK1,,25,26.3,4,16.0,3,PRO VENTILATION Arena,12000,+-0,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/hvidovre-if/startseite/verein/1894
190,fc-kopenhagen,FC Copenhagen,DK1,,30,24.7,18,60.0,11,Parken,38065,+€14.04m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-kopenhagen/startseite/verein/190
192,roda-jc-kerkrade,Roda JC Kerkrade,NL1,,25,24.0,9,36.0,0,Parkstad Limburg Stadion,19979,+€1.30m,,2017,../data/raw/transfermarkt-scraper/2017/clubs.json.gz,https://www.transfermarkt.co.uk/roda-jc-kerkrade/startseite/verein/192
19789,yeni-malatyaspor,Yeni Malatyaspor,TR1,,10,22.9,1,10.0,0,Yeni Malatya Stadyumu,25745,+€778k,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/yeni-malatyaspor/startseite/verein/19789
2079,veria-nps,Veria NPS,GR1,,29,24.3,4,13.8,0,Dimotiko Stadio Verias,6350,+-0,,2016,../data/raw/transfermarkt-scraper/2016/clubs.json.gz,https://www.transfermarkt.co.uk/veria-nps/startseite/verein/2079
21957,ao-platanias,AO Platanias,GR1,,0,,0,,0,Dimotiko Gipedo Perivolia,3700,+-0,,2017,../data/raw/transfermarkt-scraper/2017/clubs.json.gz,https://www.transfermarkt.co.uk/ao-platanias/startseite/verein/21957
2414,ac-horsens,AC Horsens,DK1,,19,25.1,9,47.4,4,Nordstern Arena Horsens,10400,+-0,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/ac-horsens/startseite/verein/2414
2457,belenenses-sad,B SAD,PO1,,25,24.2,13,52.0,4,Estádio Nacional do Jamor,37593,+€1.80m,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/belenenses-sad/startseite/verein/2457
2578,st-johnstone-fc,St. Johnstone FC,SC1,,28,24.3,16,57.1,2,McDiarmid Park,10696,+-0,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/st-johnstone-fc/startseite/verein/2578
2727,oud-heverlee-leuven,Oud-Heverlee Leuven,BE1,,25,24.4,14,56.0,4,King Power at Den Dreef Stadion,9809,+€4.40m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/oud-heverlee-leuven/startseite/verein/2727
28643,waasland-beveren,SK Beveren,BE1,,27,26.8,16,59.3,3,Freethielstadion,13290,€-350k,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/waasland-beveren/startseite/verein/28643
2990,academica-coimbra,Académica Coimbra,PO1,,26,25.2,6,23.1,0,Estádio Cidade de Coimbra,29744,+€150k,,2015,../data/raw/transfermarkt-scraper/2015/clubs.json.gz,https://www.transfermarkt.co.uk/academica-coimbra/startseite/verein/2990
3057,standard-luttich,Standard Liège,BE1,,26,23.2,17,65.4,8,Maurice Dufrasne Stadion,27221,+€8.35m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/standard-luttich/startseite/verein/3057
3690,ska-khabarovsk,SKA Khabarovsk,RU1,,27,25.7,4,14.8,0,Lenin Stadion,15200,€-93k,,2017,../data/raw/transfermarkt-scraper/2017/clubs.json.gz,https://www.transfermarkt.co.uk/ska-khabarovsk/startseite/verein/3690
4795,fc-ingolstadt-04,FC Ingolstadt 04,L1,,28,24.3,8,28.6,1,Audi Sportpark,15800,+€1.55m,,2016,../data/raw/transfermarkt-scraper/2016/clubs.json.gz,https://www.transfermarkt.co.uk/fc-ingolstadt-04/startseite/verein/4795
511,dundee-fc,Dundee FC,SC1,,22,26.0,10,45.5,0,Kilmac Stadium at Dens Park,11850,+-0,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/dundee-fc/startseite/verein/511
5358,sd-huesca,SD Huesca,ES1,,24,27.5,8,33.3,2,El Alcoraz,9128,+€1.43m,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/sd-huesca/startseite/verein/5358
603,cardiff-city,Cardiff City,GB1,,28,25.5,24,85.7,8,Cardiff City Stadium,33280,€-655k,,2018,../data/raw/transfermarkt-scraper/2018/clubs.json.gz,https://www.transfermarkt.co.uk/cardiff-city/startseite/verein/603
60551,sk-dnipro-1,SC Dnipro-1,UKR1,,0,0.0,0,,0,Dnipro-Arena,31003,+€6.90m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/sk-dnipro-1/startseite/verein/60551
6996,goverla-uzhgorod,Goverla Uzhgorod (- 2016),UKR1,,0,,0,,0,Avangard,10640,+-0,,2015,../data/raw/transfermarkt-scraper/2015/clubs.json.gz,https://www.transfermarkt.co.uk/goverla-uzhgorod/startseite/verein/6996
8024,fc-arouca,FC Arouca,PO1,,27,25.7,19,70.4,2,Estádio Municipal de Arouca,5600,+€10.80m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-arouca/startseite/verein/8024
868,mke-ankaragucu,MKE Ankaragücü,TR1,,34,25.7,11,32.4,6,Eryaman Stadyumu,20672,+€895k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/mke-ankaragucu/startseite/verein/868
903,hibernian-fc,Hibernian FC,SC1,,28,25.2,24,85.7,7,Easter Road Stadium,20250,€-521k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/hibernian-fc/startseite/verein/903
969,montpellier-hsc,Montpellier HSC,FR1,,23,25.7,14,60.9,8,Stade de la Mosson,22000,+€12.50m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/montpellier-hsc/startseite/verein/969
989,afc-bournemouth,AFC Bournemouth,GB1,,30,24.9,21,70.0,13,Vitality Stadium,11329,€-55.59m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/afc-bournemouth/startseite/verein/989
993,fc-cordoba,Córdoba CF,ES1,,24,27.9,4,16.7,0,Nuevo Arcángel,21822,+-0,,2014,../data/raw/transfermarkt-scraper/2014/clubs.json.gz,https://www.transfermarkt.co.uk/fc-cordoba/startseite/verein/993
1025,fc-bologna,Bologna FC 1909,IT1,,36,24.0,24,66.7,15,Stadio Renato Dall’Ara,36462,+€49.35m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-bologna/startseite/verein/1025
1082,losc-lille,LOSC Lille,FR1,,27,25.4,19,70.4,9,Decathlon Arena-Stade Pierre-Mauroy,50186,+€49.00m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/losc-lille/startseite/verein/1082
1160,nimes-olympique,Nîmes Olympique,FR1,,26,25.4,12,46.2,3,Stade des Antonins,8033,+€2.50m,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/nimes-olympique/startseite/verein/1160
11688,giresunspor,Giresunspor,TR1,,17,22.5,1,5.9,1,Çotanak Spor Kompleksi,21500,+-0,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/giresunspor/startseite/verein/11688
124,glasgow-rangers,Rangers FC,SC1,,30,24.9,22,73.3,9,Ibrox Stadium,50987,€-9.36m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/glasgow-rangers/startseite/verein/124
1465,gd-estoril-praia,GD Estoril Praia,PO1,,26,24.5,17,65.4,5,Estádio António Coimbra da Mota,5000,+€4.05m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/gd-estoril-praia/startseite/verein/1465
2477,karpaty-lviv,Karpaty Lviv (-2021),UKR1,,0,,0,,0,Stadion Ukraina,28051,+-0,,2019,../data/raw/transfermarkt-scraper/2019/clubs.json.gz,https://www.transfermarkt.co.uk/karpaty-lviv/startseite/verein/2477
2553,kilmarnock-fc,Kilmarnock FC,SC1,,23,26.3,9,39.1,3,"BBSP Stadium, Rugby Park",18128,+-0,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/kilmarnock-fc/startseite/verein/2553
2672,apo-levadiakos,APO Levadiakos,GR1,,31,27.5,17,58.6,0,Stadio Livadias,5915,+-0,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/apo-levadiakos/startseite/verein/2672
2740,vorskla-poltava,Vorskla Poltava,UKR1,,28,24.8,9,32.1,2,Vorskla im. Oleksiy Butovskyi,23842,€-300k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/vorskla-poltava/startseite/verein/2740
3008,hull-city,Hull City,GB1,,28,25.0,17,60.7,6,MKM Stadium,25586,+€7.50m,,2016,../data/raw/transfermarkt-scraper/2016/clubs.json.gz,https://www.transfermarkt.co.uk/hull-city/startseite/verein/3008
31,fc-liverpool,Liverpool FC,GB1,,30,24.7,21,70.0,21,Anfield,60725,+-0,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-liverpool/startseite/verein/31
336,sporting-lissabon,Sporting CP,PO1,,32,22.9,16,50.0,9,Estádio José Alvalade,50095,+€4.45m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/sporting-lissabon/startseite/verein/336
3911,stade-brest-29,Stade Brestois 29,FR1,,23,26.0,6,26.1,3,Stade Francis-Le Blé,15220,€-1.10m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/stade-brest-29/startseite/verein/3911
4,1-fc-nurnberg,1.FC Nuremberg,L1,,33,25.2,7,21.2,2,Max-Morlock-Stadion,50000,+€2.63m,,2018,../data/raw/transfermarkt-scraper/2018/clubs.json.gz,https://www.transfermarkt.co.uk/1-fc-nurnberg/startseite/verein/4
410,udinese-calcio,Udinese Calcio,IT1,,38,24.8,34,89.5,10,Bluenergy Stadium,25144,€-600k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/udinese-calcio/startseite/verein/410
41231,fk-sochi,FC Sochi,RU1,,32,25.0,9,28.1,3,Fisht Olympic Stadium,45994,€-1.26m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fk-sochi/startseite/verein/41231
4128,amkar-perm,Amkar Perm,RU1,,26,26.0,0,,0,Zvezda,17000,+-0,,2017,../data/raw/transfermarkt-scraper/2017/clubs.json.gz,https://www.transfermarkt.co.uk/amkar-perm/startseite/verein/4128
449,trabzonspor,Trabzonspor,TR1,,38,25.2,16,42.1,11,Papara Park,41131,€-10.73m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/trabzonspor/startseite/verein/449
4603,ae-larisa,AE Larisa,GR1,,28,24.2,6,21.4,0,Stadio Alkazar,13108,+-0,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/ae-larisa/startseite/verein/4603
55686,metalist-1925-kharkiv,Metalist 1925 Kharkiv,UKR1,,29,25.6,2,6.9,0,Arena Livyi Bereg,4700,€-500k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/metalist-1925-kharkiv/startseite/verein/55686
566,beerschot-ac,Beerschot AC,BE1,,0,,0,,0,Olympisch Stadion,12771,+-0,,2012,../data/raw/transfermarkt-scraper/2012/clubs.json.gz,https://www.transfermarkt.co.uk/beerschot-ac/startseite/verein/566
595,sc-bastia,SC Bastia,FR1,,25,27.6,8,32.0,6,Stade Armand-Cesari,16480,+€480k,,2016,../data/raw/transfermarkt-scraper/2016/clubs.json.gz,https://www.transfermarkt.co.uk/sc-bastia/startseite/verein/595
6890,istanbul-basaksehir-fk,Basaksehir FK,TR1,,35,25.4,16,45.7,8,Başakşehir Fatih Terim,17156,€-2.70m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/istanbul-basaksehir-fk/startseite/verein/6890
7185,panthrakikos-komotini,Panthrakikos Komotini,GR1,,29,24.3,3,10.3,0,Stadio Komotinis OPAP,5601,+-0,,2015,../data/raw/transfermarkt-scraper/2015/clubs.json.gz,https://www.transfermarkt.co.uk/panthrakikos-komotini/startseite/verein/7185
83678,metal-kharkiv,Metalist Kharkiv,UKR1,,25,26.1,7,28.0,0,Avangard,10640,+€300k,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/metal-kharkiv/startseite/verein/83678
932,lokomotiv-moskau,Lokomotiv Moscow,RU1,,23,23.4,4,17.4,8,RZD Arena,27084,+€8.55m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/lokomotiv-moskau/startseite/verein/932
1010,fc-watford,Watford FC,GB1,,30,26.3,24,80.0,12,Vicarage Road,21577,+€42.02m,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/fc-watford/startseite/verein/1010
1108,deportivo-alaves,Deportivo Alavés,ES1,,23,26.0,12,52.2,4,Mendizorroza,19840,+€7.00m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/deportivo-alaves/startseite/verein/1108
1124,fakel-voronezh,Fakel Voronezh,RU1,,26,27.0,5,19.2,1,Fakel,10052,€-80k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fakel-voronezh/startseite/verein/1124
1158,fc-lorient,FC Lorient,FR1,,31,24.9,18,58.1,9,Stade du Moustoir,16787,+€4.80m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-lorient/startseite/verein/1158
1177,silkeborg-if,Silkeborg IF,DK1,,25,24.0,6,24.0,3,JYSK Park,10000,€-505k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/silkeborg-if/startseite/verein/1177
13,atletico-madrid,Atlético de Madrid,ES1,,30,26.2,17,56.7,16,Civitas Metropolitano,70460,€-45.00m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/atletico-madrid/startseite/verein/13
131,fc-barcelona,FC Barcelona,ES1,,28,23.8,12,42.9,19,Olímpic Lluís Companys,55926,+€15.30m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-barcelona/startseite/verein/131
133,sc-cambuur-leeuwarden,SC Cambuur Leeuwarden,NL1,,16,23.1,4,25.0,3,Cambuurstadion,10250,+-0,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/sc-cambuur-leeuwarden/startseite/verein/133
141,galatasaray-istanbul,Galatasaray,TR1,,38,25.7,18,47.4,14,Ali Sami Yen Spor Kompleksi RAMS Park,52468,€-9.35m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/galatasaray-istanbul/startseite/verein/141
1411,raec-mons,RAEC Mons (- 2015),BE1,,0,,0,,0,Stade Charles Tondreau,12662,+-0,,2013,../data/raw/transfermarkt-scraper/2013/clubs.json.gz,https://www.transfermarkt.co.uk/raec-mons/startseite/verein/1411
169,panionios-athen,Panionios Athens,GR1,,34,23.5,4,11.8,0,Stadio Neas Smyrnis,11700,+-0,,2019,../data/raw/transfermarkt-scraper/2019/clubs.json.gz,https://www.transfermarkt.co.uk/panionios-athen/startseite/verein/169
18,borussia-monchengladbach,Borussia Mönchengladbach,L1,,30,25.2,16,53.3,9,Stadion im Borussia-Park,54042,€-7.70m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/borussia-monchengladbach/startseite/verein/18
18105,pfk-lviv,PFK Lviv,UKR1,,3,18.3,0,,0,Stadion SKIF,3742,+-0,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/pfk-lviv/startseite/verein/18105
2036,1-fc-heidenheim-1846,1.FC Heidenheim 1846,L1,,28,25.9,5,17.9,1,Voith-Arena,15000,+€12.45m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/1-fc-heidenheim-1846/startseite/verein/2036
273,fc-stade-rennes,Stade Rennais FC,FR1,,27,24.9,16,59.3,10,Roazhon Park,29778,+€36.80m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-stade-rennes/startseite/verein/273
3325,gd-chaves,GD Chaves,PO1,,30,26.9,17,56.7,1,Estádio Municipal Eng.º Manuel Branco Teixeira,8396,+€1.40m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/gd-chaves/startseite/verein/3325
3327,fc-penafiel,FC Penafiel,PO1,,28,27.9,4,14.3,0,Estádio Municipal 25 de Abril,5230,+-0,,2014,../data/raw/transfermarkt-scraper/2014/clubs.json.gz,https://www.transfermarkt.co.uk/fc-penafiel/startseite/verein/3327
366,real-valladolid,Real Valladolid CF,ES1,,22,27.2,11,50.0,6,Nuevo José Zorrilla,27618,+€2.50m,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/real-valladolid/startseite/verein/366
4294,sc-farense,SC Farense,PO1,,25,26.8,14,56.0,2,Estádio de São Luís,7000,+€2.00m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/sc-farense/startseite/verein/4294
458,palermo-fc,Palermo FC,IT1,,28,25.6,7,25.0,4,"Comunale Renzo Barbera ""La Favorita""",36365,€-7.94m,,2016,../data/raw/transfermarkt-scraper/2016/clubs.json.gz,https://www.transfermarkt.co.uk/palermo-fc/startseite/verein/458
46,inter-mailand,Inter Milan,IT1,,30,27.5,21,70.0,21,Giuseppe Meazza,75923,€-51.20m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/inter-mailand/startseite/verein/46
5220,gs-ergotelis,GS Ergotelis,GR1,,3,23.3,0,,0,Pankritio Stadio,25780,+-0,,2014,../data/raw/transfermarkt-scraper/2014/clubs.json.gz,https://www.transfermarkt.co.uk/gs-ergotelis/startseite/verein/5220
5572,niki-volou,Niki Volou,GR1,,26,27.2,7,26.9,2,Panthessaliko Stadio,22700,+-0,,2014,../data/raw/transfermarkt-scraper/2014/clubs.json.gz,https://www.transfermarkt.co.uk/niki-volou/startseite/verein/5572
5817,sonderjyske,SönderjyskE,DK1,,30,24.0,9,30.0,1,Sydbank Park,10000,+€1.80m,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/sonderjyske/startseite/verein/5817
605,aris-thessaloniki,Aris Thessaloniki,GR1,,24,27.5,20,83.3,3,"Gipedo ""Kleanthis Vikelidis""",22800,€-3.60m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/aris-thessaloniki/startseite/verein/605
