club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,filename,url
63007,lnz-lebedyn,LNZ Cherkasy,UKR1,,25,26.2,9,36.0,1,Cherkasy-Arena,10321,€-430k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/lnz-lebedyn/startseite/verein/63007
660,shakhtar-donetsk,Shakhtar Donetsk,UKR1,,35,23.3,13,37.1,13,Arena Livyi Bereg,4700,€-120k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/shakhtar-donetsk/startseite/verein/660
6894,kayseri-erciyesspor,Kayseri Erciyesspor,TR1,,0,,0,,0,Kayseri Atatürk Spor Kompleksi Yan Açık Saha,2000,+-0,,2014,../data/raw/transfermarkt-scraper/2014/clubs.json.gz,https://www.transfermarkt.co.uk/kayseri-erciyesspor/startseite/verein/6894
6912,fc-vizela,FC Vizela,PO1,,21,25.6,16,76.2,1,Estádio do Vizela,6565,+€4.85m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-vizela/startseite/verein/6912
714,espanyol-barcelona,RCD Espanyol Barcelona,ES1,,26,25.4,6,23.1,4,RCDE Stadium,40500,+€5.50m,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/espanyol-barcelona/startseite/verein/714
798,sbv-excelsior-rotterdam,Excelsior Rotterdam,NL1,,20,23.0,6,30.0,0,Van Donge & De Roo Stadion - Woudestein,4400,+€3.25m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/sbv-excelsior-rotterdam/startseite/verein/798
862,chievo-verona,Chievo Verona,IT1,,0,,0,,0,Marcantonio Bentegodi,31045,+-0,,2018,../data/raw/transfermarkt-scraper/2018/clubs.json.gz,https://www.transfermarkt.co.uk/chievo-verona/startseite/verein/862
8970,frosinone-calcio,Frosinone Calcio,IT1,,30,23.1,12,40.0,2,Benito Stirpe,16227,+€3.81m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/frosinone-calcio/startseite/verein/8970
9007,arsenal-kiew,Arsenal Kyiv,UKR1,,0,,0,,0,NSK Olimpisky,70050,+-0,,2018,../data/raw/transfermarkt-scraper/2018/clubs.json.gz,https://www.transfermarkt.co.uk/arsenal-kiew/startseite/verein/9007
12321,fc-girona,Girona FC,ES1,,25,27.0,11,44.0,5,Montilivi,14624,+€30.50m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-girona/startseite/verein/12321
1241,livingston-fc,Livingston FC,SC1,,25,26.5,16,64.0,0,Tony Macaroni Arena,9512,+-0,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/livingston-fc/startseite/verein/1241
127,sc-paderborn-07,SC Paderborn 07,L1,,26,25.7,5,19.2,1,Home Deluxe Arena,15000,€-450k,,2019,../data/raw/transfermarkt-scraper/2019/clubs.json.gz,https://www.transfermarkt.co.uk/sc-paderborn-07/startseite/verein/127
19,brescia-calcio,Brescia Calcio,IT1,,28,25.1,12,42.9,1,Mario Rigamonti,19550,+€3.65m,,2019,../data/raw/transfermarkt-scraper/2019/clubs.json.gz,https://www.transfermarkt.co.uk/brescia-calcio/startseite/verein/19
23,eintracht-braunschweig,Eintracht Braunschweig,L1,,30,25.6,11,36.7,2,EINTRACHT-Stadion,23325,+€750k,,2013,../data/raw/transfermarkt-scraper/2013/clubs.json.gz,https://www.transfermarkt.co.uk/eintracht-braunschweig/startseite/verein/23
33,fc-schalke-04,FC Schalke 04,L1,,27,26.4,12,44.4,4,Veltins-Arena,62271,+€10.30m,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/fc-schalke-04/startseite/verein/33
350,sheffield-united,Sheffield United,GB1,,24,24.5,11,45.8,5,Bramall Lane,32702,+€33.37m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/sheffield-united/startseite/verein/350
3592,kryvbas-kryvyi-rig,Kryvbas Kryvyi Rig,UKR1,,29,24.7,10,34.5,3,Girnyk,2500,+€120k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/kryvbas-kryvyi-rig/startseite/verein/3592
369,lyngby-bk,Lyngby BK,DK1,,26,25.2,8,30.8,2,Lyngby Stadion,10000,+€2.75m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/lyngby-bk/startseite/verein/369
3725,akhmat-grozny,Akhmat Grozny,RU1,,27,27.3,14,51.9,7,Akhmat-Arena,30200,€-3.53m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/akhmat-grozny/startseite/verein/3725
41201,pfk-tambov,PFK Tambov (-2021),RU1,,0,,0,,0,Mordovia Arena,44149,+-0,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/pfk-tambov/startseite/verein/41201
472,ud-las-palmas,UD Las Palmas,ES1,,30,27.0,9,30.0,1,Estadio de Gran Canaria,32400,+€3.50m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/ud-las-palmas/startseite/verein/472
520,cercle-brugge,Cercle Brugge,BE1,,25,22.2,15,60.0,7,Jan-Breydel-Stadion,28235,€-2.25m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/cercle-brugge/startseite/verein/520
6418,panetolikos-gfs,Panetolikos GFS,GR1,,25,24.9,12,48.0,1,Gipedo Panetolikou,7321,+-0,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/panetolikos-gfs/startseite/verein/6418
653,ofi-kreta,OFI Crete FC,GR1,,35,24.3,13,37.1,3,Gipedo Theodoros Vardinogiannis,9088,+-0,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/ofi-kreta/startseite/verein/653
6994,metalurg-zaporizhya-bis-2016-,Metalurg Zaporizhya (-2016),UKR1,,0,,0,,0,Slavutych Arena,11883,+-0,,2015,../data/raw/transfermarkt-scraper/2015/clubs.json.gz,https://www.transfermarkt.co.uk/metalurg-zaporizhya-bis-2016-/startseite/verein/6994
7378,portimonense-sc,Portimonense SC,PO1,,34,24.1,26,76.5,2,Estádio Municipal de Portimão,4961,+-0,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/portimonense-sc/startseite/verein/7378
982,cd-nacional,CD Nacional,PO1,,27,25.0,12,44.4,2,Estádio da Madeira,5586,+-0,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/cd-nacional/startseite/verein/982
1005,us-lecce,US Lecce,IT1,,35,23.2,30,85.7,7,Ettore Giardiniero,31559,+€15.50m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/us-lecce/startseite/verein/1005
1038,sampdoria-genua,UC Sampdoria,IT1,,33,24.3,5,15.6,4,Luigi Ferraris,36348,+€1.75m,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/sampdoria-genua/startseite/verein/1038
1091,paok-thessaloniki,PAOK Thessaloniki,GR1,,32,27.0,22,68.8,12,Toumba Stadium,28703,€-6.00m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/paok-thessaloniki/startseite/verein/1091
1210,as-livorno,US Livorno 1915,IT1,,29,24.1,5,17.2,0,Armando Picchi,19238,+-0,,2013,../data/raw/transfermarkt-scraper/2013/clubs.json.gz,https://www.transfermarkt.co.uk/as-livorno/startseite/verein/1210
1245,kas-eupen,KAS Eupen,BE1,,28,24.3,17,60.7,6,Kehrweg-Stadion,8331,+€300k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/kas-eupen/startseite/verein/1245
1426,vvv-venlo,VVV-Venlo,NL1,,28,22.9,7,25.0,0,Covebo Stadion - De Koel,8000,+-0,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/vvv-venlo/startseite/verein/1426
1533,sd-eibar,SD Eibar,ES1,,26,28.3,5,19.2,0,Ipurua,8164,+€2.60m,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/sd-eibar/startseite/verein/1533
180,fc-southampton,Southampton FC,GB1,,29,24.5,20,69.0,13,St Mary's Stadium,32384,+€2.40m,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/fc-southampton/startseite/verein/180
19657,vendsyssel-ff,Vendsyssel FF,DK1,,24,25.1,7,29.2,0,Nord Energi Arena,10000,€-20k,,2018,../data/raw/transfermarkt-scraper/2018/clubs.json.gz,https://www.transfermarkt.co.uk/vendsyssel-ff/startseite/verein/19657
234,feyenoord-rotterdam,Feyenoord Rotterdam,NL1,,33,23.3,19,57.6,17,"Stadion Feyenoord ""De Kuip""",47500,+€20.71m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/feyenoord-rotterdam/startseite/verein/234
2375,altay-sk,Altay SK,TR1,,31,25.3,3,9.7,0,Alsancak Mustafa Denizli Stadı,15000,+€1.42m,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/altay-sk/startseite/verein/2375
2448,sporting-gijon,Sporting Gijón,ES1,,28,26.2,10,35.7,2,El Molinón - Enrique Castro Quini,29029,+€5.23m,,2016,../data/raw/transfermarkt-scraper/2016/clubs.json.gz,https://www.transfermarkt.co.uk/sporting-gijon/startseite/verein/2448
2741,baltika-kaliningrad,Baltika Kaliningrad,RU1,,28,24.2,7,25.0,3,Rostec Arena,35000,+€359k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/baltika-kaliningrad/startseite/verein/2741
2783,metalurg-donetsk,Metalurg Donetsk (- 2015),UKR1,,0,,0,,0,Metalurg,5090,+-0,,2014,../data/raw/transfermarkt-scraper/2014/clubs.json.gz,https://www.transfermarkt.co.uk/metalurg-donetsk/startseite/verein/2783
3205,kayserispor,Kayserispor,TR1,,31,26.3,15,48.4,6,RHG Enertürk Enerji Stadyumu,32864,+-0,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/kayserispor/startseite/verein/3205
3349,cd-feirense,CD Feirense,PO1,,24,25.0,11,45.8,2,Estádio Marcolino de Castro,5401,+€325k,,2018,../data/raw/transfermarkt-scraper/2018/clubs.json.gz,https://www.transfermarkt.co.uk/cd-feirense/startseite/verein/3349
3385,panserraikos,Panserraikos,GR1,,30,25.2,11,36.7,1,Dimotiko Gipedo Serron,9500,+-0,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/panserraikos/startseite/verein/3385
368,fc-sevilla,Sevilla FC,ES1,,27,26.7,15,55.6,9,Ramón Sánchez-Pizjuán,43883,+€11.80m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-sevilla/startseite/verein/368
38,fortuna-dusseldorf,Fortuna Düsseldorf,L1,,29,25.9,12,41.4,2,MERKUR SPIEL-ARENA,54600,+€600k,,2019,../data/raw/transfermarkt-scraper/2019/clubs.json.gz,https://www.transfermarkt.co.uk/fortuna-dusseldorf/startseite/verein/38
3948,royale-union-saint-gilloise,Union Saint-Gilloise,BE1,,27,24.7,18,66.7,8,Stade Joseph Mariën,9512,+€5.50m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/royale-union-saint-gilloise/startseite/verein/3948
415,fc-toulouse,FC Toulouse,FR1,,25,23.8,19,76.0,10,Stadium Municipal,33150,+€15.80m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-toulouse/startseite/verein/415
416,fc-turin,Torino FC,IT1,,32,24.6,26,81.3,15,Olimpico Grande Torino,28177,+€19.40m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-turin/startseite/verein/416
417,ogc-nizza,OGC Nice,FR1,,27,24.8,15,55.6,12,Allianz Riviera,36178,+€12.80m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/ogc-nizza/startseite/verein/417
44,hertha-bsc,Hertha BSC,L1,,36,24.1,14,38.9,7,Olympiastadion Berlin,74667,+€6.70m,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/hertha-bsc/startseite/verein/44
467,nec-nijmegen,NEC Nijmegen,NL1,,23,24.0,10,43.5,2,Goffertstadion,12500,€-1.40m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/nec-nijmegen/startseite/verein/467
53646,fk-polissya-zhytomyr,Polissya Zhytomyr,UKR1,,33,24.7,14,42.4,4,Tsentralnyi Polissya,5928,€-2.80m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fk-polissya-zhytomyr/startseite/verein/53646
631,fc-chelsea,Chelsea FC,GB1,,43,23.0,28,65.1,16,Stamford Bridge,40853,€-28.00m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-chelsea/startseite/verein/631
749,fc-empoli,FC Empoli,IT1,,31,24.1,14,45.2,6,Carlo Castellani,19847,+€5.05m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-empoli/startseite/verein/749
833,denizlispor,Denizlispor,TR1,,27,25.8,3,11.1,1,Denizli Atatürk Stadı,18745,+-0,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/denizlispor/startseite/verein/833
865,fc-midtjylland,FC Midtjylland,DK1,,36,24.0,24,66.7,11,MCH Arena,12152,€-7.02m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-midtjylland/startseite/verein/865
10,arminia-bielefeld,Arminia Bielefeld,L1,,27,25.3,15,55.6,4,SchücoArena,26515,+€5.90m,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/arminia-bielefeld/startseite/verein/10
10484,kasimpasa,Kasimpasa,TR1,,24,25.5,11,45.8,4,Recep Tayyip Erdoğan Stadyumu,13797,+-0,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/kasimpasa/startseite/verein/10484
1049,fc-valencia,Valencia CF,ES1,,25,24.7,7,28.0,5,Mestalla,49430,€-150k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-valencia/startseite/verein/1049
1053,aalborg-bk,Aalborg BK,DK1,,27,24.5,10,37.0,0,Aalborg Portland Park,13800,+€350k,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/aalborg-bk/startseite/verein/1053
1075,sc-braga,SC Braga,PO1,,27,25.2,18,66.7,5,Estádio Municipal de Braga,30286,+€28.75m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/sc-braga/startseite/verein/1075
1269,pec-zwolle,PEC Zwolle,NL1,,26,23.8,11,42.3,1,MAC³PARK stadion,14000,+-0,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/pec-zwolle/startseite/verein/1269
132,nac-breda,NAC Breda,NL1,,32,23.7,10,31.3,2,Rat Verlegh Stadion,19000,+€115k,,2018,../data/raw/transfermarkt-scraper/2018/clubs.json.gz,https://www.transfermarkt.co.uk/nac-breda/startseite/verein/132
2292,elazigspor,Elazigspor,TR1,,28,25.3,0,,0,Elazığ Stadyumu,23000,+-0,,2013,../data/raw/transfermarkt-scraper/2013/clubs.json.gz,https://www.transfermarkt.co.uk/elazigspor/startseite/verein/2292
27,fc-bayern-munchen,Bayern Munich,L1,,33,25.3,21,63.6,22,Allianz Arena,75024,€-129.40m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-bayern-munchen/startseite/verein/27
2759,ross-county-fc,Ross County FC,SC1,,27,24.8,14,51.9,0,Global Energy Stadium,6541,+-0,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/ross-county-fc/startseite/verein/2759
2778,fc-nordsjaelland,FC Nordsjaelland,DK1,,26,22.9,11,42.3,4,Right to Dream Park,10300,+€26.70m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-nordsjaelland/startseite/verein/2778
29,fc-everton,Everton FC,GB1,,25,26.6,12,48.0,9,Goodison Park,39571,+€32.95m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-everton/startseite/verein/29
290,aj-auxerre,AJ Auxerre,FR1,,26,24.3,15,55.6,6,Stade de l'Abbé-Deschamps,18541,+-0,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/aj-auxerre/startseite/verein/290
30120,ae-kifisias,AE Kifisias,GR1,,25,26.2,10,40.0,0,"Gipedo Kesarianis ""Michalis Kritikopoulos""",4851,+€30k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/ae-kifisias/startseite/verein/30120
306,sc-heerenveen,SC Heerenveen,NL1,,22,24.1,12,54.5,6,Abe Lenstra Stadion,27224,+€6.90m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/sc-heerenveen/startseite/verein/306
3268,casa-pia-ac,Casa Pia AC,PO1,,29,25.1,13,44.8,5,Estádio Municipal de Rio Maior,6925,+€2.10m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/casa-pia-ac/startseite/verein/3268
347,fc-metz,FC Metz,FR1,,27,24.6,21,77.8,6,Stade Saint-Symphorien,28786,+€21.90m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-metz/startseite/verein/347
3714,enisey-krasnoyarsk,Enisey Krasnoyarsk,RU1,,26,25.6,2,7.7,1,Zentralstadion Krasnoyarsk,15000,+€601k,,2018,../data/raw/transfermarkt-scraper/2018/clubs.json.gz,https://www.transfermarkt.co.uk/enisey-krasnoyarsk/startseite/verein/3714
399,leeds-united,Leeds United,GB1,,27,24.6,18,66.7,9,Elland Road,37890,+€930k,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/leeds-united/startseite/verein/399
4083,fc-crotone,FC Crotone,IT1,,25,27.0,6,24.0,1,Ezio Scida,16640,+€3.90m,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/fc-crotone/startseite/verein/4083
465,st-mirren-fc,St. Mirren FC,SC1,,24,25.5,15,62.5,5,The SMISA Stadium,8023,+-0,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/st-mirren-fc/startseite/verein/465
48332,kolos-kovalivka,Kolos Kovalivka,UKR1,,25,25.3,4,16.0,1,Kolos,5050,+€2.20m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/kolos-kovalivka/startseite/verein/48332
533,tsg-1899-hoffenheim,TSG 1899 Hoffenheim,L1,,29,25.2,13,44.8,13,PreZero Arena,30150,€-9.50m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/tsg-1899-hoffenheim/startseite/verein/533
58,rsc-anderlecht,RSC Anderlecht,BE1,,25,25.1,13,52.0,6,Lotto Park,20879,+€12.50m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/rsc-anderlecht/startseite/verein/58
607,venezia-fc,Venezia FC,IT1,,27,25.6,17,63.0,5,Pier Luigi Penzo,11150,+€4.83m,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/venezia-fc/startseite/verein/607
68608,cf-os-belenenses,CF Os Belenenses,PO1,,30,25.7,5,16.7,0,Estádio do Restelo,19980,+-0,,2017,../data/raw/transfermarkt-scraper/2017/clubs.json.gz,https://www.transfermarkt.co.uk/cf-os-belenenses/startseite/verein/68608
724,fc-volendam,FC Volendam,NL1,,26,23.2,6,23.1,2,Kras Stadion,7384,+€800k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-volendam/startseite/verein/724
800,atalanta-bergamo,Atalanta BC,IT1,,26,26.2,16,61.5,17,Gewiss Stadium,21747,€-13.65m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/atalanta-bergamo/startseite/verein/800
979,moreirense-fc,Moreirense FC,PO1,,27,25.9,17,63.0,2,Estádio C. J. de Almeida Freitas,6153,+€2.10m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979
984,west-bromwich-albion,West Bromwich Albion,GB1,,25,27.8,8,32.0,4,The Hawthorns,26850,€-1.35m,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/west-bromwich-albion/startseite/verein/984
